"list_hover href","list_hover src","d-flex href","product-list__price","card__text"
"https://jewelbox.co.in/inverted-vine-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761287581.jpg","https://jewelbox.co.in/inverted-vine-diamond-ear-studs/","₹35,569","Inverted Vine Diamond Ear Studs"
"https://jewelbox.co.in/irish-clover-petal-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761983304.jpg","https://jewelbox.co.in/irish-clover-petal-diamond-earrings/","₹23,386","Irish Clover Petal Diamond Earrings"
"https://jewelbox.co.in/lauras-glam-diamond-encrusted-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1761818489.jpg","https://jewelbox.co.in/lauras-glam-diamond-encrusted-earstuds/","₹14,953","Lauras Glam Diamond Encrusted Earstuds"
"https://jewelbox.co.in/light-of-dot-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761287100.jpg","https://jewelbox.co.in/light-of-dot-diamond-ear-studs/","₹44,011","Light Of Dot Diamond Ear Studs"
"https://jewelbox.co.in/little-hearts-diamond-earstuds-for-kids/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762242175.jpg","https://jewelbox.co.in/little-hearts-diamond-earstuds-for-kids/","₹12,500","Little Hearts Diamond Earstuds for Kids"
"https://jewelbox.co.in/classic-appeal-round-diamond-stud-for-men/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762515312.jpg","https://jewelbox.co.in/classic-appeal-round-diamond-stud-for-men/","₹9,255","Classic Appeal Round Diamond Stud For Men"
"https://jewelbox.co.in/little-things-that-glimmers-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1764397707.jpg","https://jewelbox.co.in/little-things-that-glimmers-diamond-ear-studs/","₹12,665","Little things that glimmers diamond ear studs"
"https://jewelbox.co.in/lorella-dayblush-diamond-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762928318.jpg","https://jewelbox.co.in/lorella-dayblush-diamond-studs/","₹16,731","Lorella Dayblush Diamond Studs"
"https://jewelbox.co.in/lovers-petal-diamond-stud-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761806616.jpg","https://jewelbox.co.in/lovers-petal-diamond-stud-earrings/","₹22,735","Lovers Petal Diamond Stud Earrings"
"https://jewelbox.co.in/mens-round-cut-diamond-stud/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762248000.jpg","https://jewelbox.co.in/mens-round-cut-diamond-stud/","₹16,956","Men's Round Cut Diamond Stud"
"https://jewelbox.co.in/minimal-elegance-diamond-stud-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762838930.jpg","https://jewelbox.co.in/minimal-elegance-diamond-stud-earrings/","₹27,257","Minimal Elegance Diamond Stud Earrings"
"https://jewelbox.co.in/blue-stone-of-royalty-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764324268.jpg","https://jewelbox.co.in/blue-stone-of-royalty-diamond-earrings/","₹59,867","Blue Stone of Royalty Diamond Earrings"
"https://jewelbox.co.in/minimal-orb-diamond-pave-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761737128.jpg","https://jewelbox.co.in/minimal-orb-diamond-pave-earstuds/","₹15,989","Minimal Orb Diamond Pave Earstuds"
